OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,X,Y,GEOCODESTATUS,SHAPE,PERMITID
761,04092016620,TAZZA KITCHEN,432 WOODBURN  RD ,STE 140,RALEIGH,NC,27605,(919) 835-9463,2014/02/14 00:00:00+00,1 - Restaurant,-78.65854788,35.78994091,M,,Not Provided
762,04092016621,CAFE SOO,2815  BRENTWOOD RD ,,RALEIGH,NC,27604,(919) 876-1969,2014/02/14 00:00:00+00,1 - Restaurant,-78.5961504,35.81728333,M,,Not Provided
763,04092016622,WINGIN'IT BAR AND GRILLE,1625 N MAIN ST ,STE 109,FUQUAY-VARINA,NC,27526,,2014/02/28 00:00:00+00,1 - Restaurant,-78.76145495,35.59674746,M,,Not Provided
764,04092016627,WHISPERING PINES DINING,7501 LEADMINE  RD ,,RALEIGH,NC,27615,(919) 870-0222,2014/02/25 00:00:00+00,1 - Restaurant,-78.66223072,35.88240865,M,,Not Provided
765,04092016625,CILANTRO INDIAN CAFE',107 EDINBURGH SOUTH DR ,STE 107,CARY,NC,27511,(919) 234-1264,2014/02/21 00:00:00+00,1 - Restaurant,-78.79806693,35.73669743,M,,Not Provided
766,04092016635,RED PEPPER ASIAN,4121 NEW BERN AVE ,STE 109,RALEIGH,NC,27610,(919) 594-1006,2014/02/25 00:00:00+00,1 - Restaurant,-78.56526182,35.80114658,M,,Not Provided
767,04092016637,HIBERNIAN PUB,311 GLENWOOD AVE ,,RALEIGH,NC,27603,(919) 833-2258,2014/02/28 00:00:00+00,1 - Restaurant,-78.64755788,35.78474042,M,,Not Provided
768,04092016638,TARGET CAFE #2784,7129 OKELLY CHAPEL RD ,,CARY,NC,27519,(919) 674-2214,2014/03/05 00:00:00+00,1 - Restaurant,-78.88560632,35.84441825,M,,Not Provided
769,04092016640,JASMIN BISTRO,1109 LEDSOME LN ,,CARY,NC,27511,(919) 469-1112,2014/02/28 00:00:00+00,1 - Restaurant,-78.74766477,35.76296884,M,,Not Provided
770,04092016642,SUBWAY #35970,4500 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 773-1993,2014/03/14 00:00:00+00,1 - Restaurant,-78.65858039,35.71894127,M,,Not Provided
771,04092016643,PUB 4100,4100 GLENWOOD AVE ,,RALEIGH,NC,27612-4626,(919) 782-8600,2014/02/26 00:00:00+00,1 - Restaurant,-78.67111545,35.83723708,M,,Not Provided
772,04092016646,FILIPINO EXPRESS RESTAURANT,"3601 CAPITAL BLVD, STE 101",,RALEIGH,NC,27604,(919) 876-6911,2014/03/25 00:00:00+00,1 - Restaurant,-78.5859304,35.82957833,M,,Not Provided
773,04092016650,SHEETZ #540,4000 LUFKIN RD ,,APEX,NC,27539,(919) 303-3443,2014/03/19 00:00:00+00,1 - Restaurant,-78.82092709,35.72194761,M,,Not Provided
774,04092016645,SHEETZ #536,4660 MILLBROOK GREEN DR ,,RALEIGH,NC,27604,(919) 307-8433,2014/03/06 00:00:00+00,1 - Restaurant,-78.58749799,35.84885683,M,,Not Provided
775,04092016653,SONIC DRIVE IN #5639,1240  N ARENDELL  AVE ,,ZEBULON,NC,27597,(919) 269-3477,2014/03/26 00:00:00+00,1 - Restaurant,-78.32287165,35.83782072,M,,Not Provided
776,04092016658,LA ROMA PIZZA,1322 FIFTH AVE ,,GARNER,NC,27529,(919) 662-1700,2014/04/03 00:00:00+00,1 - Restaurant,-78.62185674,35.70948085,M,,Not Provided
777,04092016659,SONO SUSHI BAR,319 FAYETTEVILLE ST ,,RALEIGH,NC,27601,(919) 521-5328,2014/04/03 00:00:00+00,1 - Restaurant,-78.63879789,35.77609151,M,,Not Provided
778,04092016657,CITY BARBEQUE,1305 KILDAIRE FARM RD ,,RALEIGH,NC,27511,(919) 439-5191,2014/03/28 00:00:00+00,1 - Restaurant,-78.78332836,35.76164477,M,,Not Provided
779,04092016654,TASTE OF JAMAICA,600 E CHATHAM ST ,#B,CARY,NC,27511,(919) 461-0045,2014/03/26 00:00:00+00,1 - Restaurant,-78.76780094,35.79070743,M,,Not Provided
780,04092016661,COURTNEY'S NY BAGEL   DELI,929 HERITAGE LAKE  RD ,,WAKE FOREST,NC,27587,(919) 453-1043,2014/03/31 00:00:00+00,1 - Restaurant,-78.50377685,35.94688497,M,,Not Provided
781,04092016663,BOJANGLES #5,3301 S WILMINGTON ST ,,RALEIGH,NC,27603,(919) 772-4512,2014/04/08 00:00:00+00,1 - Restaurant,-78.6498043,35.73506094,M,,Not Provided
782,04092016665,CHAR GRILL/SALSARITAS,1600 JOHN BRANTLEY BLVD ,,MORRISVILLE,NC,27560,(919) 840-7170,2014/04/11 00:00:00+00,1 - Restaurant,-78.7893961,35.86970016,M,,Not Provided
783,04092016667,ACC AMERICAN CAFE/PURO GUSTO,1600 JOHN BRANTLEY  BLVD ,,MORRISVILLE,NC,27560,(919) 378-8454,2014/04/11 00:00:00+00,1 - Restaurant,-78.7893961,35.86970016,M,,Not Provided
784,04092016679,BITTERSWEET,16 E MARTIN ST ,,RALEIGH,NC,27601,(919) 977-3829,2014/04/23 00:00:00+00,1 - Restaurant,-78.63876765,35.7765855,M,,Not Provided
785,04092016674,TAQUERIA LA ESQUINA,10500 CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 600-0870,2014/04/25 00:00:00+00,1 - Restaurant,-78.83169117,35.84049491,M,,Not Provided
786,04092016683,ROLY POLY,4040 ED DR ,,RALEIGH,NC,27612,(919) 785-0441,2014/05/13 00:00:00+00,1 - Restaurant,-78.70319603,35.82517717,M,,Not Provided
787,04092016680,SCHLOTZSKY'S,906 US 64 HWY W ,,APEX,NC,27502,(919) 462-9481,2014/04/30 00:00:00+00,1 - Restaurant,-78.82279451,35.74469111,M,,Not Provided
788,04092016684,CHINA QUEEN,2233-103 AVENT FERRY RD ,,RALEIGH,NC,27606,(919) 832-8882,2014/05/16 00:00:00+00,1 - Restaurant,-78.67605304,35.77835842,M,,Not Provided
789,04092016686,ALPACA PERUVIAN CHARCOAL CHICKEN,9575 CHAPEL HILL  RD ,,MORRISVILLE,NC,27560,(919) 378-9259,2014/04/28 00:00:00+00,1 - Restaurant,-78.81120592,35.8045755,M,,Not Provided
790,04092016687,PLAZA DEL MARIACHI,411 W GANNON AVE ,,ZEBULON,NC,27597,(919) 269-4464,2014/04/30 00:00:00+00,1 - Restaurant,-78.32295741,35.82026265,M,,Not Provided
791,04092016694,STARBUCKS #21218,5100 CAPITAL BLVD ,,RALEIGH,NC,27616,(919) 713-2135,2014/05/21 00:00:00+00,1 - Restaurant,-78.58044649,35.8556149,M,,Not Provided
792,04092016693,HONEY BAKED HAM COMPANY #103,5275 SIX FORKS RD ,,RALEIGH,NC,27609,(919) 787-0655,2014/05/01 00:00:00+00,1 - Restaurant,-78.6431573,35.85331091,M,,Not Provided
793,04092016696,JOHNNY'S PIZZA,8759 HOLLY SPRINGS RD ,,APEX,NC,27539,(919) 362-5566,2014/05/30 00:00:00+00,1 - Restaurant,-78.77345985,35.69264269,M,,Not Provided
794,04092016702,CHINA WOK,7440-143 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 00:00:00+00,1 - Restaurant,-78.53977075,35.87454257,M,,Not Provided
795,04092016707,HAKO SUSHI,2603-155 GLENWOOD  AVE ,STE 155,RALEIGH,NC,27608,(919) 961-2807,2014/06/25 00:00:00+00,1 - Restaurant,-78.66059971,35.81550158,M,,Not Provided
796,04092016705,EL TAPATIO,13200 FALLS OF NEUSE ROAD,SUITE 167,RALEIGH,NC,27614,(919) 554-9697,2014/06/19 00:00:00+00,1 - Restaurant,-78.55982173,35.94075522,M,,Not Provided
797,04092016710,WAFFLE HOUSE #2052,2320 DIXIE FOREST ROAD,,RALEIGH,NC,27615,(919) 862-1905,2014/07/03 00:00:00+00,1 - Restaurant,-78.60008773,35.86284098,M,,Not Provided
798,04092016711,EL LOBO MEXICAN RESTAURANT,1301 E BROAD ST ,,FUQUAY-VARINA,NC,27526,(919) 557-9540,2014/06/25 00:00:00+00,1 - Restaurant,-78.77604193,35.59548914,M,,Not Provided
799,04092016715,SPRING HILL SUITES KITCHEN,1128 LEDSOME LANE,,CARY,NC,27511,(919) 977-7244,2014/07/11 00:00:00+00,1 - Restaurant,-78.74888986,35.7617631,M,,Not Provided
800,04092016713,RED LOBSTER,4408 OLD WAKE FOREST RD ,,RALEIGH,NC,27609-6233,(919) 872-5608,2014/07/18 00:00:00+00,1 - Restaurant,-78.6105829,35.841135,M,,Not Provided
801,04092016722,LUCKY CHICKEN II,851 BASS PRO LANE,,CARY,NC,27513,(919) 678-3153,2014/07/08 00:00:00+00,1 - Restaurant,-78.77007336,35.83116267,M,,Not Provided
802,04092016728,AJISAI JAPANESE FUSION,427 WOODBURN ROAD,,RALEIGH,NC,27605,(919) 831-9907,2014/07/09 00:00:00+00,1 - Restaurant,-78.6602578,35.78996917,M,,Not Provided
803,04092016727,HARRIS TEETER #236 STARBUCKS,7145  O'KELLY CHAPEL RD ,,CARY,NC,27519,(919) 465-9432,2014/08/04 00:00:00+00,1 - Restaurant,-78.8882479,35.8441495,M,,Not Provided
804,04092016733,CAROLINA BARBECUE,733 US 70 HWY W ,,GARNER,NC,27529,(877) 588-2271,2014/08/22 00:00:00+00,1 - Restaurant,-78.6263419,35.7117051,M,,Not Provided
805,04092016734,GROCERY BOY JR.,1912 W GARNER  RD ,,GARNER,NC,27529,(919) 772-5018,2014/08/22 00:00:00+00,1 - Restaurant,-78.62580682,35.72598726,M,,Not Provided
806,04092016744,MCDONALD'S #5651,8305 CREEDMOOR  RD ,,RALEIGH,NC,27615,(919) 847-8111,2014/08/29 00:00:00+00,1 - Restaurant,-78.68140762,35.90035381,M,,Not Provided
807,04092016743,MCDONALD'S #34347,9698 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(919) 845-5502,2014/08/28 00:00:00+00,1 - Restaurant,-78.60132673,35.90639172,M,,Not Provided
808,04092016745,MCDONALD'S #27549,8011 BRIER CREEK PKY,,RALEIGH,NC,27617,(919) 806-1114,2014/08/29 00:00:00+00,1 - Restaurant,-78.78220459,35.9103894,M,,Not Provided
809,04092016746,WELCOME MART,3252 AUBURN KNIGHTDALE ROAD,,RALEIGH,NC,27610,(919) 771-1530,2014/08/29 00:00:00+00,1 - Restaurant,-78.51969051,35.71972309,M,,Not Provided
810,04092016753,LA BUENA VIDA,1388 KILDAIRE FARM RD,,CARY,NC,27511,(919) 678-3449,2014/09/05 00:00:00+00,1 - Restaurant,-78.78379576,35.75917085,M,,Not Provided
811,04092016754,SUBWAY #1120,3639 NEW BERN AVE ,,RALEIGH,NC,27610-1232,(919) 250-9393,2014/09/05 00:00:00+00,1 - Restaurant,-78.57924099,35.79885208,M,,Not Provided
812,04092016767,LENOVO BUILDING 7 CAFE,7001 DEVELOPMENT DRIVE,,MORRISVILLE,NC,27560,(919) 237-8701,2014/09/26 00:00:00+00,1 - Restaurant,-78.87426839,35.86577474,M,,Not Provided
813,04092016768,LENOVO BUILDING 8 CAFETERIA,8001 DEVELOPMENT DRIVE,,MORRISVILLE,NC,27560,(919) 237-8600,2014/09/26 00:00:00+00,1 - Restaurant,-78.8782524,35.86448849,M,,Not Provided
814,04092016770,DON BETO'S TACOS,421 CHAPANOKE RD ,SUITE 105,RALEIGH,NC,27603,(919) 809-2120,2014/10/02 00:00:00+00,1 - Restaurant,-78.65333672,35.73464526,M,,Not Provided
815,04092016773,CHIPOTLE #2066,9504 STRICKLAND ROAD,,RALEIGH,NC,27615,(919) 322-3259,2014/09/30 00:00:00+00,1 - Restaurant,-78.65494329,35.90183973,M,,Not Provided
816,04092016776,MANHATTAN CAFE,320 S WILMINGTON  ST ,,RALEIGH,NC,27601,(919) 833-6105,2014/10/16 00:00:00+00,1 - Restaurant,-78.63879789,35.77609151,M,,Not Provided
817,04092016780,HARRIS TEETER #430 STARBUCKS,885 WALNUT ST ,,CARY,NC,27511,(919) 481-4251,2014/10/15 00:00:00+00,1 - Restaurant,-78.76562102,35.77485801,M,,Not Provided
818,04092016788,RALPH E. CAPPS TEEN CENTER GRILL,721 N. RALEIGH BLVD.,,RALEIGH,NC,27610,(919) 250-3595,2014/10/16 00:00:00+00,1 - Restaurant,-78.61395647,35.79169717,M,,Not Provided
819,04092016784,SCHIANO'S PIZZA PASTA WINGS,948 GATEWAY COMMONS CIRCLE,,WAKE FOREST,NC,27587,(919) 263-9177,2014/10/07 00:00:00+00,1 - Restaurant,-78.49517643,35.96733271,M,,Not Provided
820,04092016791,HOLLY HILL CHILDREN'S HOSPITAL DINING,201 MICHAEL J. SMITH LANE,,RALEIGH,NC,27610,(919) 250-7000,2014/10/22 00:00:00+00,1 - Restaurant,-78.5783839,35.77913325,M,,Not Provided
821,04092016794,ALEXANDER'S MEDITERRANEAN CUISINE,263 W TIMBER DR ,,GARNER,NC,27529,(919) 779-1183,2014/11/04 00:00:00+00,1 - Restaurant,-78.60613274,35.68500311,M,,Not Provided
822,04092016797,HYATT HOUSE FOOD SERVICE,10962 CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 388-5355,2014/11/12 00:00:00+00,1 - Restaurant,-78.84052916,35.85506616,M,,Not Provided
823,04092016789,KINGS BOWL,141 PARK AT NORTH HILLS STREET,,RALEIGH,NC,27609,(919) 600-5700,2014/10/17 00:00:00+00,1 - Restaurant,-78.63883981,35.83739883,M,,Not Provided
824,04092016799,KUMO SUSHI   HIBACHI,2916 N MAIN  ST ,SUITE 112,FUQUAY-VARINA,NC,27526,(919) 986-0983,2014/11/04 00:00:00+00,1 - Restaurant,-78.73259512,35.61559312,M,,Not Provided
825,04092016800,PUBLIX #1466 DELI,1020 BRADFORD PLAZA WAY,,CARY,NC,27513,(919) 460-2082,2014/10/28 00:00:00+00,1 - Restaurant,-78.84558557,35.79325258,M,,Not Provided
826,04092016802,THE MILL,146 S. MAIN STREET,,FUQUAY-VARINA,NC,27526,(919) 557-2123,2014/10/30 00:00:00+00,1 - Restaurant,-78.80003584,35.58300413,M,,Not Provided
827,04092016815,TUPELO HONEY CAFE,425 OBERLIN ROAD,,RALEIGH,NC,27605,(919) 723-9353,2014/11/24 00:00:00+00,1 - Restaurant,-78.66382646,35.78995167,M,,Not Provided
828,04092016808,HARRIS TEETER #257 STARBUCKS,2080 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 233-9483,2014/11/10 00:00:00+00,1 - Restaurant,-78.78068643,35.73567118,M,,Not Provided
829,04092016816,LUCETTEGRACE,235 S. SALISBURY STREET,,RALEIGH,NC,27601,(919) 307-4950,2014/11/21 00:00:00+00,1 - Restaurant,-78.63978806,35.77728809,M,,Not Provided
830,04092016822,SUBWAY #11874,411 S MAIN ST ,,ROLESVILLE,NC,27571-9664,(919) 554-3511,2014/12/01 00:00:00+00,1 - Restaurant,-78.4663386,35.91623805,M,,Not Provided
831,04092016820,DOHERTY'S IRISH PUB   RESTAURANT,5490 APEX PEAKWAY,,APEX,NC,27502,(919) 387-4100,2014/11/17 00:00:00+00,1 - Restaurant,-78.86537408,35.73684286,M,,Not Provided
832,04092016835,ALPACA PERUVIAN CHARCOAL CHICKEN,4614 CAPITAL BLVD ,,RALEIGH,NC,27604,(919) 713-0000,2014/12/29 00:00:00+00,1 - Restaurant,-78.57926433,35.84834257,M,,Not Provided
833,04092016831,STATE OF BEER,401 HILLSBOROUGH ST,,RALEIGH,NC,27603,(919) 546-9116,2014/12/12 00:00:00+00,1 - Restaurant,-78.64534681,35.78016859,M,,Not Provided
834,04092016838,PANERA #1813,6201 GLENWOOD AVE.,,RALEIGH,NC,27612,(919) 334-2726,2014/12/17 00:00:00+00,1 - Restaurant,-78.70383637,35.85593782,M,,Not Provided
835,04092016840,MI CANCUN,1106 GRACE PARK DRIVE,,MORRISVILLE,NC,27560,(919) 650-1718,2014/12/30 00:00:00+00,1 - Restaurant,-78.84652233,35.821117,M,,Not Provided
836,04092016843,FOUNTAIN DINING HALL,2520 SULLIVAN  DR ,,RALEIGH,NC,27695,(919) 515-3963,2014/12/18 00:00:00+00,1 - Restaurant,-78.67872314,35.78447976,M,,Not Provided
837,04092016849,HIBACHI BOWL,8109-129 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 803-2267,2015/01/06 00:00:00+00,1 - Restaurant,-78.69975164,35.66336704,M,,Not Provided
838,04092016844,DUCK DONUTS,100 WRENN DR ,STE #101,CARY,NC,27511,(919) 468-8722,2014/12/17 00:00:00+00,1 - Restaurant,-78.78400793,35.76514685,M,,Not Provided
839,04092016861,CHIPOTLE #2386,6081  CAPITAL  BLVD ,,RALEIGH,NC,27616,(919) 322-3290,2015/01/13 00:00:00+00,1 - Restaurant,-78.5830954,35.86881664,M,,Not Provided
840,04092016857,BIG MIKES BBQ,1222 NW MAYNARD ROAD,,CARY,NC,27513,(919) 799-2023,2015/01/16 00:00:00+00,1 - Restaurant,-78.80932559,35.78486593,M,,Not Provided
841,04092016872,HAMPTON INN (BREAKFAST AREA),1010 AIRPORT BLVD.,,MORRISVILLE,NC,27560,(919) 462-1620,2015/02/05 00:00:00+00,1 - Restaurant,-78.81827567,35.85781916,M,,Not Provided
842,04092016866,AWAZE ETHIOPIAN AND ERITREAN CUISINE,904 NE MAYNARD RD ,,CARY,NC,27513,(919) 377-2599,2015/02/05 00:00:00+00,1 - Restaurant,-78.76838418,35.80043542,M,,Not Provided
843,04092016882,CHICK-FIL-A #699,1803 N. HARRISON AVE.,,CARY,NC,27513,(919) 678-1444,2015/02/16 00:00:00+00,1 - Restaurant,-78.76967135,35.82932558,M,,Not Provided
844,04092016876,LIFE CAFE,8715 FALLS OF NEUSE ROAD,,RALEIGH,NC,27615,(919) 582-7000,2015/02/27 00:00:00+00,1 - Restaurant,-78.61169249,35.89649982,M,,Not Provided
845,04092016887,COFFEE   (METLIFE 2),201 METLIFE WAY,,CARY,NC,27513,(919) 538-7017,2015/02/23 00:00:00+00,1 - Restaurant,-78.79975401,35.83005542,M,,Not Provided
846,04092016877,LIFE CAFE POOLSIDE,8715 FALLS OF NEUSE ROAD,,RALEIGH,NC,27615,(919) 582-7000,2015/02/27 00:00:00+00,1 - Restaurant,-78.61169249,35.89649982,M,,Not Provided
847,04092016888,TERRACE DINING ROOM/TERRACE SNACK BAR,1509  MAIN CAMPUS DR ,,RALEIGH,NC,27606,(919) 515-4343,2015/04/02 00:00:00+00,1 - Restaurant,-78.67973963,35.76281459,M,,Not Provided
848,04092016886,METLIFE CARY CAFE MARKETPLACE,201 METLIFE WAY ,,CARY,NC,27513,(919) 538-7017,2015/02/23 00:00:00+00,1 - Restaurant,-78.79975401,35.83005542,M,,Not Provided
849,04092016891,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 858-6501,2015/04/08 00:00:00+00,1 - Restaurant,-78.68893987,35.78436967,M,,Not Provided
850,04092016901,THE LODGE AT WAKE FOREST #5647,1151 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-8768,2015/04/08 00:00:00+00,1 - Restaurant,-78.517068,35.96434421,M,,Not Provided
851,04092016902,BRAVOS PIZZERIA,9 N MAIN ST ,,WENDELL,NC,27591,(919) 365-6065,2015/03/18 00:00:00+00,1 - Restaurant,-78.37020589,35.78129266,M,,Not Provided
852,04092016903,AXIS (AT EMBASSY SUITES),4700 CREEDMOOR RD ,,RALEIGH,NC,27612-5802,(919) 881-0000,2015/05/06 00:00:00+00,1 - Restaurant,-78.67921987,35.84477033,M,,Not Provided
853,04092016906,SMOOTHIE U,2600 FOUNDER DR ,,RALEIGH,NC,27695,(919) 513-0809,2015/04/13 00:00:00+00,1 - Restaurant,-78.66895681,35.78776429,M,,Not Provided
854,04092016912,CAPPOLLA'S PIZZA   GRILL,2462 WALNUT ST ,,CARY,NC,27518,(919) 854-7777,2015/04/30 00:00:00+00,1 - Restaurant,-78.74427277,35.7532321,M,,Not Provided
855,04092016913,TAVERN ON THE GREEN,565 COMPETITION RD ,,RALEIGH,NC,27603,(919) 977-8094,2015/05/12 00:00:00+00,1 - Restaurant,-78.66911771,35.67202311,M,,Not Provided
856,04092016926,DEATH AND TAXES,105 W HARGETT ST ,,RALEIGH,NC,27601,(984) 242-0218,2015/04/08 00:00:00+00,1 - Restaurant,-78.64044813,35.77816925,M,,Not Provided
857,04092016920,WAKE MED NORTH FALLS CAFE,10000 FALLS OF NEUSE RD ,,RALEIGH,NC,27614,(919) 350-1478,2015/05/07 00:00:00+00,1 - Restaurant,-78.59784664,35.90891239,M,,Not Provided
858,04092016927,SHEETZ 555,4010 CONVENIENCE LN ,,CARY,NC,27519,(919) 316-7779,2015/04/24 00:00:00+00,1 - Restaurant,-78.8947698,35.86023957,M,,Not Provided
859,04092016929,41 HUNDRED,4100 MAIN AT NORTH HILLS  ST ,,RALEIGH,NC,27609,(919) 571-8773,2015/05/22 00:00:00+00,1 - Restaurant,-78.64420613,35.83600374,M,,Not Provided
860,04092016930,HYATT HOUSE H BAR,160 PARK AT NORTH HILLS  ST ,,RALEIGH,NC,27609,(919) 363-0771,2015/05/22 00:00:00+00,1 - Restaurant,-78.63811755,35.836365,M,,Not Provided
861,04092016932,TAIPEI CAFE,9825-G CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 380-8568,2015/05/29 00:00:00+00,1 - Restaurant,-78.81704809,35.81052408,M,,Not Provided
862,04092016935,TACO BELL #30930,1125 US HIGHWAY 70 W ,,GARNER,NC,27529,(919) 803-4328,2015/05/21 00:00:00+00,1 - Restaurant,-78.6347529,35.71643061,M,,Not Provided
863,04092016944,HIMALAYAN NEPALI CUISINE,746 E CHATHAM ST ,A,CARY,NC,27511,(919) 466-0550,2015/06/04 00:00:00+00,1 - Restaurant,-78.7669176,35.79077934,M,,Not Provided
864,04092016945,PANERA #1806,1004 PARKSIDE MAIN ST ,,CARY,NC,27519,(919) 337-0020,2015/06/04 00:00:00+00,1 - Restaurant,-78.88642865,35.84618367,M,,Not Provided
865,04092016947,SOPRANO'S GRILL,1030-101 N ROGERS LN ,,RALEIGH,NC,27610,(919) 878-8848,2015/06/05 00:00:00+00,1 - Restaurant,-78.54837151,35.79167791,M,,Not Provided
866,04092016948,HIBACHI SUSHI,3217 AVENT FERRY RD ,,RALEIGH,NC,27606,(919) 233-9119,2015/06/03 00:00:00+00,1 - Restaurant,-78.69565546,35.76674009,M,,Not Provided
867,04092016949,TAVERNA AGORA,326 HILLSBOROUGH ST ,,RALEIGH,NC,27603,(919) 881-8333,2015/06/08 00:00:00+00,1 - Restaurant,-78.64443555,35.78101266,M,,Not Provided
868,04092016952,MILANO PIZZA,186 WAKELON ST ,,ZEBULON,NC,27597-2403,(919) 269-4488,2015/06/12 00:00:00+00,1 - Restaurant,-78.31858232,35.83228581,M,,Not Provided
869,04092016956,CITY BARBEQUE #27,110 CABELA DR ,,GARNER,NC,27529,(919) 258-2009,2015/06/12 00:00:00+00,1 - Restaurant,-78.58356058,35.69798885,M,,Not Provided
870,04092016950,JUICEKEYS,5011-B FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(984) 500-0078,2015/06/11 00:00:00+00,1 - Restaurant,-78.61557773,35.84978383,M,,Not Provided
871,04092016961,TOWNPLACE SUITES CARY/WESTON PKWY.,120 SAGE COMMONS WAY ,,CARY,NC,27513,(919) 678-0005,2015/06/24 00:00:00+00,1 - Restaurant,-78.80567601,35.82777691,M,,Not Provided
872,04092016962,CHANTICLEER CAFE   BAKERY,6490 TRYON RD ,,CARY,NC,27518,(919) 781-4810,2015/06/22 00:00:00+00,1 - Restaurant,-78.76236786,35.74415868,M,,Not Provided
873,04092016964,SUBWAY #42484,3429 N MAIN ST ,,FUQUAY-VARINA,NC,27526,(919) 762-0521,2015/06/18 00:00:00+00,1 - Restaurant,-78.72590996,35.6251507,M,,Not Provided
874,04092016965,RESIDENCE INN/MARRIOTT COURTYARD FOOD SERVICE,10600 LITTLE BRIER CREEK LN ,,RALEIGH,NC,27617,(919) 472-1000,2015/06/18 00:00:00+00,1 - Restaurant,-78.79032466,35.91660723,M,,Not Provided
875,04092016968,SULTAN'S DELI,1459 BEAVER CREEK COMMONS DR ,,APEX,NC,27502,(919) 367-6007,2015/07/31 00:00:00+00,1 - Restaurant,-78.88353507,35.74506886,M,,Not Provided
876,04092016969,JOYCE AND FAMILY RESTAURANT,129 N MAIN ST ,,FUQUAY-VARINA,NC,27526,(919) 567-1717,2015/07/07 00:00:00+00,1 - Restaurant,-78.8005676,35.58597421,M,,Not Provided
877,04092016976,MCDONALDS #28653,1409 N MAIN ST ,,FUQUAY-VARINA,NC,27526,(919) 552-3190,2015/07/14 00:00:00+00,1 - Restaurant,-78.77166402,35.59372439,M,,Not Provided
878,04092016977,MCDONALDS #32242,7100 GB ALFORD HWY ,,HOLLY SPRINGS,NC,27540,(919) 552-4071,2015/07/14 00:00:00+00,1 - Restaurant,-78.83107876,35.63624795,M,,Not Provided
879,04092016978,THE BURGER SHOP,203 WAIT AVE ,,WAKE FOREST,NC,27587,(919) 562-2333,2015/07/07 00:00:00+00,1 - Restaurant,-78.50923959,35.97887812,M,,Not Provided
880,04092016981,NEUSE RIVER BREWING COMPANY,518-100 PERSHING RD ,,RALEIGH,NC,27608,(985) 232-8479,2015/07/22 00:00:00+00,1 - Restaurant,-78.63276831,35.80415325,M,,Not Provided
881,04092016984,RALEIGH BEER GARDEN,614 GLENWOOD AVE ,,RALEIGH,NC,27603,(984) 232-8074,2015/07/15 00:00:00+00,1 - Restaurant,-78.64672339,35.7880515,M,,Not Provided
882,04092016985,MCDONALD'S #12293,3424 POOLE RD ,,RALEIGH,NC,27610,(919) 250-0072,2015/07/17 00:00:00+00,1 - Restaurant,-78.578215,35.76749617,M,,Not Provided
883,04092016987,CARLIE C'S DELI #810,506 W GANNON AVE ,,ZEBULON,NC,27579,(919) 269-4111,2015/07/24 00:00:00+00,1 - Restaurant,-78.32472591,35.8213969,M,,Not Provided
884,04092016990,CAROLINA ALE HOUSE,400 CONSERVATION RD ,,GARNER,NC,27529,(919) 772-2646,2015/07/16 00:00:00+00,1 - Restaurant,-78.58112499,35.69648535,M,,Not Provided
885,04092016986,BIG ED'S NORTH,5009 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 747-9533,2015/07/16 00:00:00+00,1 - Restaurant,-78.61557773,35.84978383,M,,Not Provided
886,04092016991,PIEZANO PIZZA,252 SOUTHTOWN CIR ,,ROLESVILLE,NC,27571,(919) 554-8881,2015/08/06 00:00:00+00,1 - Restaurant,-78.47039393,35.91648281,M,,Not Provided
887,04092016996,DICED GOURMET SALADS AND WRAPS,1377 KILDAIRE FARM RD,,CARY,NC,27511,(919) 234-0785,2015/08/11 00:00:00+00,1 - Restaurant,-78.78193785,35.75976468,M,,Not Provided
888,04092016998,KABABISH CAFE,201 W CHATHAM ST ,SUITE 103,CARY,NC,27519,(919) 377-8794,2015/08/05 00:00:00+00,1 - Restaurant,-78.78389959,35.78664776,M,,Not Provided
889,04092016999,BAWARCHI,9601 CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 439-7070,2015/07/29 00:00:00+00,1 - Restaurant,-78.81065625,35.80602375,M,,Not Provided
890,04092017000,THE GARDEN GRILLE   BAR BY HILTON,3912 ARROW DR ,,RALEIGH,NC,27612,(919) 703-2525,2015/07/28 00:00:00+00,1 - Restaurant,-78.67330245,35.83540932,M,,Not Provided
891,04092017003,LA CARRETA,1028-220 OBERLIN RD ,,RALEIGH,NC,27605,(919) 977-3271,2015/08/14 00:00:00+00,1 - Restaurant,-78.65844846,35.79783425,M,,Not Provided
